FFTBin#,Frequency (Hz),Ch0 Mean (db),Ch0 Std Dev(db),Ch1 Mean (db),Ch1 Std Dev(db)
113,304.1565,2.5712,4.5935,2.1599,4.5937
114,306.8481,2.7680,4.5206,2.9633,4.4470
115,309.5398,2.6177,4.3043,2.6221,4.0686
116,312.2314,1.3528,6.4739,0.8918,5.8065
117,314.9231,1.9298,4.7295,1.9096,4.7239
118,317.6147,3.3313,5.9473,2.9975,6.0762
119,320.3064,3.0842,5.1216,3.0706,5.0405
120,322.9980,6.0151,6.0254,5.8704,5.8940
121,325.6897,5.0703,5.4825,4.6575,5.7702
122,328.3813,2.9100,3.7502,2.8687,3.6676
123,331.0730,0.6801,4.0058,0.4188,4.3334
124,333.7646,1.9440,5.0255,1.9942,4.9715
125,336.4563,-0.5383,4.8519,-0.4177,4.5696
126,339.1479,-0.9576,5.5941,-1.2036,5.6076
127,341.8396,-2.2184,4.7654,-2.3219,5.9224
128,344.5313,-4.3539,5.2421,-4.2017,5.2243
129,347.2229,-2.0477,4.2564,-1.9525,4.1442
130,349.9146,-3.7075,5.9048,-3.4526,5.7728
131,352.6062,-0.3698,5.1517,-0.2659,4.7754
132,355.2979,0.3390,3.7968,-0.0951,3.9980
133,357.9895,0.9673,7.1659,0.7135,7.2151
134,360.6812,5.0587,4.3874,4.9685,4.4453
135,363.3728,4.8641,3.9628,4.6344,4.2178
136,366.0645,-1.7503,7.0554,-1.5963,6.9171
137,368.7561,-3.8146,5.4346,-4.0103,5.7321
138,371.4478,-3.4653,5.0921,-3.4569,5.0309
139,374.1394,0.1596,4.4796,0.0551,3.7006
140,376.8311,3.5297,4.8837,3.3233,4.3932
141,379.5227,1.2521,6.4658,0.9536,6.6308
142,382.2144,2.5078,4.9616,2.7400,5.0563
143,384.9060,1.2943,5.1575,0.9746,5.6147
144,387.5977,-0.1587,5.2260,-0.0407,5.1779
145,390.2893,0.9663,4.1472,0.5286,4.3077
146,392.9810,-1.8461,6.4094,-1.5865,6.3418
147,395.6726,-1.0271,5.1266,-1.0762,4.8581
148,398.3643,1.5294,3.7749,1.2138,3.6515
149,401.0559,2.1882,4.3866,2.3820,4.4019
150,403.7476,0.1497,6.1325,0.0903,6.1391
151,406.4392,0.6697,3.6192,0.7973,3.6915
152,409.1309,0.6398,4.1970,0.6671,4.2487
153,411.8225,0.1510,5.3557,-0.1643,5.6036
