FFTBin#,Frequency (Hz),Ch0 Mean (db),Ch0 Std Dev(db),Ch1 Mean (db),Ch1 Std Dev(db)
1684,4532.7393,-25.7914,7.1298,-23.4204,5.9088
1685,4535.4309,-23.4406,5.5031,-23.6870,6.1587
1686,4538.1226,-22.1257,4.8078,-24.2431,4.5133
1687,4540.8142,-23.2433,5.3866,-23.6818,6.1795
1688,4543.5059,-24.3555,5.3766,-22.4216,4.6857
1689,4546.1975,-23.4169,5.4291,-22.4540,4.8045
1690,4548.8892,-24.8015,6.5403,-25.7991,7.5062
1691,4551.5808,-24.6529,4.2081,-26.0748,4.7157
1692,4554.2725,-23.1660,5.5819,-22.5656,4.7314
1693,4556.9641,-26.9391,8.1326,-24.0332,5.7640
1694,4559.6558,-22.1115,3.4525,-21.7800,4.3342
1695,4562.3474,-23.0940,5.6511,-21.2099,5.7118
1696,4565.0391,-22.9524,5.3686,-23.5506,5.9308
1697,4567.7307,-21.8132,6.2700,-23.5057,6.6168
1698,4570.4224,-21.9363,5.5828,-23.4298,5.6752
1699,4573.1140,-22.0383,4.7376,-23.0289,4.7576
1700,4575.8057,-25.7756,8.5184,-23.9927,8.4762
1701,4578.4973,-23.3021,7.0832,-24.2675,6.9914
1702,4581.1890,-24.3915,6.6231,-24.3928,6.5768
1703,4583.8806,-23.8997,7.5819,-23.4874,6.1553
1704,4586.5723,-21.6190,5.2026,-21.8714,5.9916
1705,4589.2639,-21.5319,4.9190,-22.7489,6.1179
1706,4591.9556,-24.2795,5.6293,-25.7228,4.8852
1707,4594.6472,-22.7401,7.0196,-22.6581,6.1030
1708,4597.3389,-23.7509,9.0796,-23.3373,7.9653
1709,4600.0305,-22.9305,5.0831,-22.1760,5.7893
1710,4602.7222,-22.9260,5.0764,-23.0909,4.3126
1711,4605.4138,-23.0491,6.1172,-23.2079,5.0417
1712,4608.1055,-24.1988,4.8696,-24.9034,6.4042
1713,4610.7971,-21.2051,4.1089,-21.5275,3.2414
1714,4613.4888,-21.1203,4.1258,-21.5651,3.4484
1715,4616.1804,-22.7698,4.1398,-22.7394,3.2256
1716,4618.8721,-22.0826,5.1243,-21.8832,5.8104
1717,4621.5637,-22.8198,5.5853,-22.6927,6.7020
1718,4624.2554,-22.8874,5.4890,-22.5624,5.5226
1719,4626.9470,-23.1553,5.1428,-22.4711,4.4091
1720,4629.6387,-22.1332,5.8208,-22.9468,4.6161
1721,4632.3303,-20.6614,4.6856,-21.5943,4.8261
1722,4635.0220,-22.4987,4.4663,-23.3387,5.2515
1723,4637.7136,-21.1661,4.3313,-20.7201,5.2235
1724,4640.4053,-21.8632,4.6281,-21.0332,5.5390
1725,4643.0969,-20.9007,5.1874,-21.3290,5.5546
1726,4645.7886,-21.5472,3.9005,-22.6315,5.7391
1727,4648.4802,-23.6914,4.6074,-23.1250,4.9287
1728,4651.1719,-21.6011,3.8077,-20.8380,3.8822
1729,4653.8635,-22.4172,5.8969,-22.8210,6.0474
1730,4656.5552,-22.9343,6.1187,-23.6391,6.5417
1731,4659.2468,-24.2522,7.7747,-23.6598,5.8585
1732,4661.9385,-21.2214,5.8871,-22.2399,7.2119
1733,4664.6301,-21.5414,4.5909,-21.9782,5.2568
1734,4667.3218,-21.0347,4.8230,-21.2824,5.3856
1735,4670.0134,-24.7997,5.0894,-23.7063,7.8721
1736,4672.7051,-25.9879,7.9479,-24.3049,5.8606
1737,4675.3967,-24.7804,3.3624,-23.6272,3.4658
1738,4678.0884,-25.4668,6.1597,-24.4282,4.3085
1739,4680.7800,-23.3547,5.3974,-23.4985,5.3245
1740,4683.4717,-21.3806,4.6176,-21.2094,4.4293
1741,4686.1633,-20.6168,6.3544,-21.3964,5.9059
1742,4688.8550,-23.3750,7.1552,-23.3226,8.5226
1743,4691.5466,-24.8868,7.3261,-24.4668,7.1058
1744,4694.2383,-23.4029,7.0506,-23.1069,6.4124
1745,4696.9299,-22.7914,4.7374,-23.2567,5.7622
1746,4699.6216,-21.6777,5.6381,-23.2636,6.7419
1747,4702.3132,-23.9459,4.8648,-23.7097,8.0942
1748,4705.0049,-24.8391,7.5352,-24.4567,8.0553
1749,4707.6965,-23.0666,5.7758,-23.4993,6.8071
1750,4710.3882,-22.5444,6.2433,-22.7219,6.4380
1751,4713.0798,-22.3303,6.0720,-23.2665,5.5209
1752,4715.7715,-24.6161,5.7799,-24.4813,6.4389
1753,4718.4631,-24.6373,5.0437,-23.3885,6.3375
1754,4721.1548,-22.9000,3.2995,-22.3143,3.5849
1755,4723.8464,-22.8928,3.0083,-24.4741,4.6729
1756,4726.5381,-21.7310,4.0581,-22.6977,4.7585
1757,4729.2297,-23.4965,5.3109,-23.5004,5.1937
1758,4731.9214,-24.3976,7.1027,-24.2997,7.4978
1759,4734.6130,-23.4555,5.9471,-21.5136,5.3239
1760,4737.3047,-23.5090,6.1382,-21.8106,5.4539
1761,4739.9963,-21.1116,3.0133,-21.3253,4.0480
1762,4742.6880,-22.4306,5.5526,-22.3093,4.1705
1763,4745.3796,-24.1743,6.4203,-23.7938,5.0846
1764,4748.0713,-23.0717,4.4314,-22.3403,4.4517
1765,4750.7629,-24.6042,7.6736,-25.1610,5.6258
1766,4753.4546,-25.8830,7.6655,-24.5466,6.2426
1767,4756.1462,-25.5167,5.7663,-25.0899,5.4531
1768,4758.8379,-24.0428,4.6734,-23.6991,5.2604
1769,4761.5295,-24.9795,5.4778,-23.9390,3.9791
1770,4764.2212,-24.4014,5.6338,-26.0619,5.4412
1771,4766.9128,-25.8221,6.1388,-24.7133,5.1760
1772,4769.6045,-23.9267,6.2382,-22.8964,5.4733
1773,4772.2961,-21.4417,5.4175,-21.5696,5.9842
1774,4774.9878,-20.6298,6.0929,-20.7160,5.4757
1775,4777.6794,-21.8590,4.8921,-22.0407,5.5961
1776,4780.3711,-22.9405,6.0530,-22.9644,4.8021
1777,4783.0627,-23.1353,5.4593,-23.7515,5.7603
1778,4785.7544,-23.4227,4.8509,-23.3273,5.1068
1779,4788.4460,-23.3528,5.4955,-22.8955,5.8089
1780,4791.1377,-21.4329,4.0588,-21.6222,4.2094
1781,4793.8293,-22.8529,4.7376,-23.9326,5.4199
1782,4796.5210,-22.8712,5.0982,-23.1163,5.2175
1783,4799.2126,-21.2444,4.5960,-21.3671,5.1314
1784,4801.9043,-21.6403,4.0624,-20.7289,4.0225
1785,4804.5959,-23.2690,4.2947,-21.9710,5.0473
1786,4807.2876,-24.1966,5.2128,-24.0581,4.2645
1787,4809.9792,-23.9213,5.5570,-22.3850,5.4796
1788,4812.6709,-20.8581,4.5358,-19.3778,4.8112
1789,4815.3625,-22.0245,5.4009,-21.7165,4.8181
1790,4818.0542,-22.7425,4.4980,-22.6525,4.9979
1791,4820.7458,-23.6856,5.6901,-22.2900,5.0767
1792,4823.4375,-22.3515,4.9896,-23.2321,4.8275
1793,4826.1292,-24.3593,7.0281,-22.5437,5.2165
1794,4828.8208,-25.3703,6.0672,-24.8184,6.1203
1795,4831.5125,-23.6244,6.3861,-24.3772,6.6217
1796,4834.2041,-22.8239,4.9031,-22.9152,6.0160
1797,4836.8958,-22.8640,4.4097,-24.5330,7.8030
1798,4839.5874,-23.5328,5.4708,-23.9012,6.9596
1799,4842.2791,-22.6598,4.8268,-23.2775,6.5251
1800,4844.9707,-26.3521,6.6751,-26.1318,7.8762
1801,4847.6624,-25.3318,4.2535,-23.5111,4.9874
1802,4850.3540,-22.5851,4.0127,-22.2405,4.9114
1803,4853.0457,-23.0040,5.1595,-22.4872,6.0514
1804,4855.7373,-21.5772,5.7813,-21.2705,4.4774
1805,4858.4290,-23.1716,5.2008,-22.0707,4.8120
1806,4861.1206,-23.8160,3.6419,-23.3603,3.6382
1807,4863.8123,-24.8315,4.9773,-24.5348,5.1070
1808,4866.5039,-23.2048,3.5418,-24.6729,5.1081
1809,4869.1956,-23.4530,5.8156,-24.0807,4.5617
1810,4871.8872,-22.4807,4.1532,-22.9565,3.5297
1811,4874.5789,-25.5926,7.2001,-25.6826,5.5880
1812,4877.2705,-21.4168,4.3424,-21.8123,5.7316
1813,4879.9622,-21.5071,5.1240,-23.3908,5.7758
1814,4882.6538,-22.8672,4.8078,-23.6472,4.6571
1815,4885.3455,-24.9252,6.7612,-25.2417,6.4992
1816,4888.0371,-23.5301,5.1548,-22.0790,5.7428
1817,4890.7288,-23.4594,6.1166,-22.1455,4.5787
1818,4893.4204,-23.7153,6.5707,-24.4419,6.4410
1819,4896.1121,-22.8202,4.6729,-23.4554,4.4335
1820,4898.8037,-22.6498,4.7291,-22.6165,4.8091
1821,4901.4954,-24.2757,3.3929,-23.4511,4.2373
1822,4904.1870,-25.8462,5.2174,-26.3418,6.2134
1823,4906.8787,-25.9214,6.2309,-25.6578,6.0093
1824,4909.5703,-20.5340,3.8145,-21.6471,6.3096
1825,4912.2620,-22.5815,5.3068,-22.8450,4.1670
1826,4914.9536,-24.2656,4.8530,-23.4694,4.1783
1827,4917.6453,-24.4686,6.0055,-23.9875,5.0147
1828,4920.3369,-22.8955,3.9962,-23.6450,4.3194
1829,4923.0286,-23.1013,5.2715,-23.5520,5.2032
1830,4925.7202,-23.6637,4.2943,-25.5007,5.1381
1831,4928.4119,-26.2936,5.8280,-25.5014,5.1735
1832,4931.1035,-23.2904,6.3676,-24.4241,6.4554
1833,4933.7952,-21.2712,4.5928,-22.4568,5.2415
1834,4936.4868,-22.8319,5.3401,-23.8014,4.5299
1835,4939.1785,-22.6640,4.7353,-22.9531,2.7031
1836,4941.8701,-24.2057,6.2536,-24.0099,5.7260
1837,4944.5618,-21.8293,4.6391,-24.6197,6.3925
1838,4947.2534,-22.5095,3.5350,-24.5748,6.9616
1839,4949.9451,-24.2794,5.6505,-23.6334,5.8985
1840,4952.6367,-21.4262,3.4609,-21.4724,3.5354
1841,4955.3284,-23.2531,5.1387,-24.5913,6.0141
1842,4958.0200,-23.2478,4.6388,-24.0258,5.2469
1843,4960.7117,-22.8012,4.9581,-24.6692,6.2177
1844,4963.4033,-23.4540,6.4410,-22.9707,6.7268
1845,4966.0950,-23.7331,4.1512,-23.8249,5.1923
1846,4968.7866,-25.6453,5.9116,-24.3774,4.5173
1847,4971.4783,-23.8485,3.5569,-22.9278,3.2567
1848,4974.1699,-22.8239,6.7324,-22.8816,5.7662
1849,4976.8616,-22.0244,6.0577,-22.4484,5.1741
1850,4979.5532,-21.3152,5.0534,-22.4288,3.7667
1851,4982.2449,-23.3365,5.2714,-22.3368,3.7137
1852,4984.9365,-25.2445,6.0495,-24.8932,4.9717
1853,4987.6282,-25.0319,4.7863,-22.8741,3.0053
1854,4990.3198,-22.7558,3.9023,-21.5447,3.6170
1855,4993.0115,-22.4600,3.6078,-22.4197,4.4286
1856,4995.7031,-24.1114,3.7357,-27.0479,6.0870
1857,4998.3948,-25.0358,6.6123,-27.0869,7.5632
1858,5001.0864,-22.9488,5.4041,-25.6596,5.6246
1859,5003.7781,-21.8289,5.0143,-21.6880,3.9402
1860,5006.4697,-23.1731,4.6285,-23.8631,4.8403
1861,5009.1614,-22.5001,5.2686,-21.6828,3.9674
1862,5011.8530,-21.9654,4.1895,-21.9099,3.9020
1863,5014.5447,-23.2521,6.0441,-23.7324,4.5601
1864,5017.2363,-24.4405,5.8853,-25.5286,7.9956
1865,5019.9280,-23.0486,4.7754,-23.9954,4.9811
1866,5022.6196,-24.2470,4.7086,-25.3263,6.0971
1867,5025.3113,-26.0651,6.5787,-24.9335,5.7070
1868,5028.0029,-23.6084,4.5245,-22.5640,5.3885
1869,5030.6946,-24.5479,5.7102,-25.2830,5.3560
1870,5033.3862,-22.5845,4.4359,-22.5315,4.5055
1871,5036.0779,-24.1596,6.6622,-24.1823,5.7524
1872,5038.7695,-26.9959,5.8991,-26.0548,6.3011
1873,5041.4612,-24.9959,6.5416,-24.1167,3.8611
1874,5044.1528,-22.9387,5.3074,-22.4110,4.7942
1875,5046.8445,-21.1025,3.9242,-21.7126,3.8533
1876,5049.5361,-22.5162,5.4832,-23.4718,6.3534
1877,5052.2278,-24.6037,6.5964,-24.4409,6.2715
1878,5054.9194,-23.8220,3.6068,-24.7280,3.6701
1879,5057.6111,-25.2961,5.3176,-25.2826,4.4409
1880,5060.3027,-26.4488,5.4829,-27.9218,6.6455
1881,5062.9944,-26.6311,4.4449,-24.0138,3.7204
1882,5065.6860,-25.6289,4.9632,-25.0977,4.2967
1883,5068.3777,-24.6985,4.8945,-24.7563,5.9800
1884,5071.0693,-24.2330,5.1145,-25.4912,6.3533
1885,5073.7610,-23.7560,4.8910,-23.6141,4.5137
1886,5076.4526,-21.3739,4.2132,-21.5467,5.1810
1887,5079.1443,-21.4142,6.1300,-21.3211,5.2473
1888,5081.8359,-23.9209,5.8554,-23.0988,5.3528
1889,5084.5276,-23.2951,5.0763,-23.8934,5.0770
1890,5087.2192,-24.4765,5.3460,-24.4650,5.0462
1891,5089.9109,-23.4960,5.1117,-24.4593,5.6503
1892,5092.6025,-23.6045,3.7935,-23.7513,5.4679
1893,5095.2942,-24.8864,5.2172,-23.9500,4.2846
1894,5097.9858,-28.0605,6.2591,-26.0135,5.4956
1895,5100.6775,-26.5676,6.9521,-24.9726,6.3313
1896,5103.3691,-26.4609,6.8608,-25.8812,6.4097
1897,5106.0608,-23.4847,5.5301,-24.7484,6.3694
1898,5108.7524,-22.0053,5.3482,-23.0690,6.3036
1899,5111.4441,-22.4443,5.3056,-23.2881,5.8766
1900,5114.1357,-23.0501,4.6969,-22.9057,4.0972
1901,5116.8274,-24.8178,4.8318,-25.1168,4.6188
1902,5119.5190,-23.6606,5.0798,-24.5134,4.8152
1903,5122.2107,-22.9280,4.5008,-21.6580,3.9417
1904,5124.9023,-21.9408,3.0733,-22.1115,4.8182
1905,5127.5940,-22.0344,3.9349,-22.9076,4.5738
1906,5130.2856,-26.1408,5.9649,-24.5017,4.8091
1907,5132.9773,-25.9796,3.5574,-23.3523,3.3627
1908,5135.6689,-22.7154,2.9255,-23.1128,4.0451
1909,5138.3606,-22.7273,4.4272,-23.8405,5.0885
1910,5141.0522,-22.3555,4.5378,-21.3489,5.4294
1911,5143.7439,-23.6452,5.4690,-23.3126,5.9614
1912,5146.4355,-21.7190,4.6016,-21.4436,5.4275
1913,5149.1272,-22.7193,4.5564,-22.4463,4.7612
1914,5151.8188,-22.5881,3.6453,-21.6555,3.6905
1915,5154.5105,-22.7873,5.4632,-23.2658,6.0759
1916,5157.2021,-21.6889,3.8983,-21.5907,3.9459
1917,5159.8938,-21.5575,2.1978,-21.8759,3.3021
1918,5162.5854,-23.1091,5.4268,-23.3759,5.6234
1919,5165.2771,-21.4053,3.9642,-21.9067,4.1787
1920,5167.9688,-21.3676,4.3879,-21.6118,5.4022
1921,5170.6604,-21.6969,4.7482,-21.9852,4.1519
1922,5173.3521,-23.4409,4.7767,-24.7030,6.7296
1923,5176.0437,-24.3421,6.7306,-24.4025,6.5137
1924,5178.7354,-23.0482,6.3887,-23.7433,5.7409
1925,5181.4270,-21.1218,6.0582,-21.7344,5.3111
1926,5184.1187,-21.7515,6.3430,-23.0017,5.3597
1927,5186.8103,-25.1918,8.1096,-23.0956,5.9142
1928,5189.5020,-23.4663,5.6454,-22.4274,4.9080
1929,5192.1936,-20.7863,6.9289,-21.6601,7.4958
1930,5194.8853,-21.7687,6.5032,-21.9953,5.7565
1931,5197.5769,-23.0309,5.6338,-22.4323,5.1864
1932,5200.2686,-23.0453,4.0669,-23.5396,4.1435
1933,5202.9602,-23.6786,1.7482,-23.9040,4.1249
1934,5205.6519,-24.1481,5.7390,-23.6155,4.3418
1935,5208.3435,-23.6519,5.4762,-22.1194,4.1839
1936,5211.0352,-21.8520,5.5894,-21.4118,3.7833
1937,5213.7268,-22.3169,5.0991,-21.2570,3.7734
1938,5216.4185,-24.2538,6.1148,-23.0402,5.2762
1939,5219.1101,-22.5333,5.8528,-23.2043,5.9922
1940,5221.8018,-21.7370,4.6424,-21.6788,5.1832
1941,5224.4934,-23.1278,6.6934,-22.2441,5.8281
1942,5227.1851,-22.2847,6.0414,-22.3761,6.0055
1943,5229.8767,-24.0544,6.1377,-24.0018,5.9534
1944,5232.5684,-23.7252,3.5871,-25.2262,5.1662
1945,5235.2600,-25.8777,3.6003,-24.8043,5.6984
1946,5237.9517,-25.2677,4.6255,-23.4047,4.3110
1947,5240.6433,-23.0192,4.9408,-22.8838,4.4462
1948,5243.3350,-22.0124,4.6015,-22.3941,4.4779
1949,5246.0266,-22.8558,5.4525,-24.5469,5.6442
1950,5248.7183,-24.2527,6.2343,-23.6577,6.9009
1951,5251.4099,-22.3577,4.2959,-23.1285,5.2508
1952,5254.1016,-25.2997,6.2003,-23.2040,4.8391
1953,5256.7932,-22.7459,4.0163,-24.7052,5.9195
1954,5259.4849,-23.6690,4.3920,-23.7741,5.1568
1955,5262.1765,-23.0026,2.7992,-24.9084,4.4806
1956,5264.8682,-24.9093,6.1607,-25.7163,4.8532
1957,5267.5598,-24.8408,5.1731,-25.7060,6.7328
1958,5270.2515,-25.0234,4.8770,-25.4391,5.5651
1959,5272.9431,-24.7355,4.0480,-25.1910,4.8160
1960,5275.6348,-24.8498,5.0459,-22.8141,4.2345
1961,5278.3264,-22.8482,4.6369,-21.6377,4.2160
1962,5281.0181,-21.1888,4.8980,-21.8295,4.5650
1963,5283.7097,-23.0329,4.9688,-23.2157,5.0103
1964,5286.4014,-24.4234,4.8152,-26.2922,6.4648
1965,5289.0930,-25.2214,5.3755,-24.3982,5.6309
1966,5291.7847,-24.4727,4.8145,-22.7881,4.4930
1967,5294.4763,-23.9204,5.9065,-23.5811,6.5258
1968,5297.1680,-23.8634,6.1192,-22.4122,5.7538
1969,5299.8596,-23.8843,4.8267,-23.2817,5.5921
1970,5302.5513,-22.4674,4.9025,-21.7760,4.9695
1971,5305.2429,-24.3440,7.3083,-23.6139,6.2381
1972,5307.9346,-26.0115,6.7141,-25.4740,6.6473
1973,5310.6262,-23.8354,5.6954,-24.1045,6.6460
1974,5313.3179,-22.7248,5.4193,-23.5418,6.4690
1975,5316.0095,-23.3378,5.0100,-23.6419,4.4216
1976,5318.7012,-23.3040,4.3888,-23.2882,2.7538
1977,5321.3928,-25.5388,6.0978,-26.0668,5.5634
1978,5324.0845,-24.7601,6.7373,-24.7625,5.3052
1979,5326.7761,-23.2528,5.5218,-23.2381,7.1583
1980,5329.4678,-23.7720,6.0114,-24.9535,6.5373
1981,5332.1594,-22.5379,5.6298,-22.0851,4.9985
1982,5334.8511,-19.5878,5.9959,-19.6803,6.4062
1983,5337.5427,-21.8046,5.4037,-22.5090,5.9167
1984,5340.2344,-22.8324,7.0328,-24.3105,7.3253
1985,5342.9260,-19.7438,6.5005,-20.9923,6.4448
1986,5345.6177,-19.1785,4.3307,-21.5924,6.2428
1987,5348.3093,-21.5979,5.8989,-22.4655,4.3906
1988,5351.0010,-24.3737,6.5023,-22.6544,5.6756
1989,5353.6926,-24.0182,7.6931,-22.2945,7.0859
1990,5356.3843,-22.7575,5.4640,-23.6227,4.8681
1991,5359.0759,-21.6673,5.5275,-22.4919,5.3060
1992,5361.7676,-22.5097,4.9650,-23.2981,4.1996
1993,5364.4592,-23.1869,5.0633,-23.7487,6.1788
1994,5367.1509,-20.9912,4.5519,-21.0729,5.5046
1995,5369.8425,-21.3584,4.4248,-20.6147,3.3730
1996,5372.5342,-24.8726,7.0787,-22.1141,5.8904
1997,5375.2258,-22.2069,3.9811,-21.9318,3.3406
1998,5377.9175,-21.6099,5.6468,-21.7204,3.9796
1999,5380.6091,-22.0083,6.1802,-24.9907,7.1749
2000,5383.3008,-23.0173,4.6287,-24.8187,4.6905
2001,5385.9924,-24.3062,5.2243,-24.0908,4.9106
2002,5388.6841,-23.7952,4.8617,-23.1153,5.3796
2003,5391.3757,-23.0775,5.5361,-24.3744,4.5828
2004,5394.0674,-20.6950,5.2878,-22.0427,3.6844
2005,5396.7590,-21.3318,4.5300,-21.9849,4.9376
2006,5399.4507,-21.0931,5.4932,-23.0379,7.7208
2007,5402.1423,-21.9720,5.3936,-21.5479,4.7125
2008,5404.8340,-21.7520,5.7259,-21.4008,5.2459
2009,5407.5256,-21.4706,4.7041,-22.1548,4.1627
2010,5410.2173,-24.9845,6.2114,-24.4223,5.8780
2011,5412.9089,-22.8577,6.5203,-24.3623,5.8959
2012,5415.6006,-21.4050,5.0133,-21.0686,5.7428
2013,5418.2922,-21.7006,5.4143,-21.2404,5.3382
2014,5420.9839,-21.8481,4.4115,-21.4749,4.8588
2015,5423.6755,-22.8581,4.0411,-21.1874,4.0436
2016,5426.3672,-22.7299,6.6778,-21.5996,6.6519
2017,5429.0588,-22.5267,5.8131,-22.1714,5.1230
2018,5431.7505,-20.9767,4.6037,-22.2311,5.9437
2019,5434.4421,-22.8492,4.6121,-22.1660,5.8088
2020,5437.1338,-22.7912,4.3784,-21.9869,3.3332
2021,5439.8254,-24.0208,5.4618,-23.8863,3.6611
2022,5442.5171,-25.7631,5.4321,-26.8973,6.1533
2023,5445.2087,-22.0220,3.0983,-22.3681,4.1691
2024,5447.9004,-23.1538,5.5356,-23.0494,6.5626
2025,5450.5920,-22.0003,6.7516,-22.0048,5.5653
2026,5453.2837,-21.2638,4.4253,-21.7401,4.6375
2027,5455.9753,-23.7179,6.1166,-22.8919,5.7192
2028,5458.6670,-23.7480,5.4641,-23.7804,5.3207
2029,5461.3586,-24.9179,5.5150,-23.1500,5.6054
2030,5464.0503,-24.7702,3.8050,-24.0043,6.8245
2031,5466.7419,-26.5737,5.4869,-25.3264,6.8675
2032,5469.4336,-24.6233,4.4638,-23.8276,5.3700
2033,5472.1252,-22.9554,5.1223,-22.5005,4.0101
2034,5474.8169,-22.9450,4.1622,-23.6643,3.9256
2035,5477.5085,-22.3695,3.8914,-23.5577,4.9486
2036,5480.2002,-23.1896,5.3818,-23.1985,5.8120
2037,5482.8918,-22.0489,5.0639,-22.4399,5.0399
2038,5485.5835,-22.7946,4.7344,-23.4648,4.9626
2039,5488.2751,-22.6406,3.7280,-21.5501,4.7076
2040,5490.9668,-23.4964,6.3952,-22.7341,5.3251
2041,5493.6584,-24.4249,5.2884,-24.0574,6.1318
2042,5496.3501,-24.4023,6.0577,-23.9611,7.1050
2043,5499.0417,-24.7453,4.8022,-24.3348,6.1353
2044,5501.7334,-23.1523,4.0585,-22.5025,3.7714
2045,5504.4250,-24.1659,7.4063,-23.8782,7.1164
2046,5507.1167,-22.6732,5.1432,-23.2658,6.3022
2047,5509.8083,-24.4487,4.7900,-22.8487,5.2118
2048,5512.5000,-22.0492,5.4630,-21.4960,4.6144
2049,5515.1917,-21.3239,4.1498,-20.4274,3.0118
2050,5517.8833,-22.2922,4.6579,-21.2072,4.4223
2051,5520.5750,-25.5073,3.9766,-25.5744,6.0999
2052,5523.2666,-23.6551,5.0070,-23.7573,5.2213
2053,5525.9583,-22.5151,5.6516,-22.7850,4.2662
2054,5528.6499,-23.6786,4.9574,-23.9723,4.6168
2055,5531.3416,-26.3781,5.6740,-25.9408,6.4636
2056,5534.0332,-24.6681,5.8584,-25.4427,6.9150
2057,5536.7249,-26.0774,4.3111,-26.0695,3.5875
2058,5539.4165,-25.3146,4.5055,-24.4623,4.2014
2059,5542.1082,-24.4186,4.1253,-23.3121,3.5999
2060,5544.7998,-25.0230,4.1923,-23.6194,4.4508
2061,5547.4915,-23.1658,4.4531,-22.0917,4.0934
2062,5550.1831,-24.6982,6.8088,-23.4008,5.4556
2063,5552.8748,-22.8795,4.0154,-23.7826,4.6201
2064,5555.5664,-26.0213,5.0629,-25.9682,6.4597
2065,5558.2581,-23.4346,4.9133,-22.9016,3.9182
2066,5560.9497,-23.2383,4.9876,-22.0830,3.7145
2067,5563.6414,-22.5984,4.6659,-22.9556,4.8438
2068,5566.3330,-23.1623,3.7696,-22.1761,3.9427
2069,5569.0247,-24.6377,4.2776,-23.7962,4.5219
2070,5571.7163,-23.7153,7.6521,-24.5186,8.1121
2071,5574.4080,-23.5063,7.0401,-24.2215,6.2900
2072,5577.0996,-24.1043,4.5701,-24.8190,3.5395
2073,5579.7913,-22.6950,4.3149,-24.3030,4.5729
2074,5582.4829,-23.4995,4.7899,-26.3231,6.1756
2075,5585.1746,-22.2189,4.9733,-23.1176,5.6942
2076,5587.8662,-24.9911,6.7132,-23.2216,6.2446
2077,5590.5579,-24.5049,5.1030,-21.4093,4.8584
2078,5593.2495,-24.1200,5.0863,-23.2723,4.0405
2079,5595.9412,-25.1696,4.6333,-26.9937,5.5540
2080,5598.6328,-24.9880,5.1539,-24.2756,3.5717
2081,5601.3245,-24.3763,4.8941,-24.4921,5.5372
2082,5604.0161,-23.3761,4.5198,-24.6704,6.2323
2083,5606.7078,-25.0991,7.2897,-25.6176,7.1747
2084,5609.3994,-24.2654,5.8095,-23.1455,5.3144
2085,5612.0911,-23.0014,5.0311,-22.2822,5.0595
2086,5614.7827,-22.7645,6.2500,-23.6060,6.8796
2087,5617.4744,-23.3068,5.4765,-24.2743,6.1312
2088,5620.1660,-21.0961,3.6632,-21.4456,4.5598
2089,5622.8577,-23.2489,6.0126,-22.3340,5.0303
2090,5625.5493,-23.4814,3.6337,-22.1216,3.3000
2091,5628.2410,-23.0390,4.9534,-23.2620,5.4896
2092,5630.9326,-22.7208,5.5601,-22.7800,5.9739
2093,5633.6243,-21.7890,3.1817,-20.4575,3.0703
2094,5636.3159,-24.0205,5.0962,-23.4818,4.4332
2095,5639.0076,-22.8765,4.1923,-23.9972,5.9820
2096,5641.6992,-22.2541,3.6741,-24.0943,4.5830
2097,5644.3909,-24.5966,5.0549,-24.5692,5.5469
2098,5647.0825,-26.4441,6.5515,-26.5520,6.8448
2099,5649.7742,-25.6612,5.7840,-25.6150,5.9348
2100,5652.4658,-22.5642,4.8816,-22.1890,4.8146
2101,5655.1575,-23.6543,3.4215,-23.5801,5.2941
2102,5657.8491,-27.3868,6.0041,-26.3595,6.2022
2103,5660.5408,-25.3306,5.1484,-23.8399,4.5065
2104,5663.2324,-21.4077,4.8305,-20.8128,3.5605
2105,5665.9241,-21.8373,3.9119,-21.4238,3.9716
2106,5668.6157,-22.7276,6.7119,-20.8905,5.5070
2107,5671.3074,-21.2357,4.4910,-20.3020,4.3058
2108,5673.9990,-21.8344,4.1940,-22.4499,3.7589
2109,5676.6907,-22.2880,5.0980,-22.4227,3.3675
2110,5679.3823,-23.1754,5.6154,-24.5830,5.9572
2111,5682.0740,-22.9040,6.5514,-24.6995,4.6287
2112,5684.7656,-23.3729,5.6080,-25.0993,6.0618
2113,5687.4573,-24.2861,5.1710,-25.0806,7.0921
2114,5690.1489,-26.9021,7.0634,-24.8390,6.5468
2115,5692.8406,-24.0478,6.2647,-22.1178,4.9025
2116,5695.5322,-25.9972,6.6374,-25.5189,5.7703
2117,5698.2239,-22.7535,4.6496,-22.9412,5.9474
2118,5700.9155,-24.3873,5.5067,-23.3630,5.2894
2119,5703.6072,-23.0503,4.0304,-24.4848,4.6816
2120,5706.2988,-22.6434,6.5024,-26.4746,7.9294
2121,5708.9905,-23.6227,5.3307,-24.9643,4.0889
2122,5711.6821,-26.0634,6.4889,-24.2786,5.0007
2123,5714.3738,-26.5491,5.7347,-26.7319,6.1492
2124,5717.0654,-23.4251,4.6306,-24.4193,4.2451
2125,5719.7571,-22.3929,4.5008,-22.7756,3.4703
2126,5722.4487,-24.0694,5.3780,-24.6906,5.6010
2127,5725.1404,-21.5163,4.2462,-21.6714,3.6929
2128,5727.8320,-24.0582,4.5655,-24.1762,4.8433
2129,5730.5237,-23.2937,5.7261,-23.8661,2.3952
2130,5733.2153,-24.6695,6.3723,-24.1384,5.6982
2131,5735.9070,-24.8719,5.8574,-23.6229,5.7289
2132,5738.5986,-22.5218,3.6963,-23.2458,4.2833
